latitude,longitude,booking_time,pickup_time,status,app,test
43.654584,-79.368582,2013-02-12 10:00,2013-02-12 15:00,cancelled,true,true
43.65456,-79.368539,2013-02-12 15:14,2013-02-12 20:14,cancelled,true,true
43.6417946,-79.4253001,2013-02-13 09:26,2013-02-13 20:05,complete,false,false
43.654607,-79.368571,2013-02-13 11:01,2013-02-13 16:01,cancelled,true,true
43.6802826,-79.3377707,2013-02-13 21:32,2013-02-14 11:50,cancelled,false,false
43.654427,-79.368509,2013-02-14 14:14,2013-02-14 19:13,cancelled,true,true
43.6725498,-79.2818915,2013-02-14 18:55,2013-02-15 01:30,complete,false,false
43.6687188,-79.3976417,2013-02-14 19:51,2013-02-15 01:30,complete,false,false
43.7123162,-79.3936178,2013-02-14 22:59,2013-02-15 12:00,complete,false,false
43.679828,-79.390549,2013-02-14 23:55,2013-02-15 04:54,complete,true,false
43.654407,-79.36843,2013-02-15 09:53,2013-02-15 14:53,cancelled,true,true
43.7112744,-79.3913739,2013-02-15 22:33,2013-02-16 03:33,complete,false,false
0,0,2013-02-16 09:03,2013-02-16 14:04,complete,false,false
45.4769851,-73.8385451,2013-02-16 14:02,2013-02-21 20:00,cancelled,false,false
45.4769851,-73.8385451,2013-02-16 14:04,2013-02-21 20:00,cancelled,false,false
0,0,2013-02-16 17:14,2013-02-16 22:15,complete,false,false
43.662501,-79.333354,2013-02-16 21:35,2013-02-17 02:34,cancelled,true,true
43.7332337,-79.3930311,2013-02-16 22:22,2013-02-17 03:16,complete,false,false
43.7590643,-79.2444597,2013-02-16 23:36,2013-02-17 04:36,cancelled,false,false
45.4769851,-73.8385451,2013-02-17 19:09,2013-02-21 20:30,complete,false,false
43.658148,-79.389308,2013-02-17 17:02,2013-02-18 12:30,complete,false,false
43.6660632,-79.4071762,2013-02-17 14:48,2013-02-18 14:00,complete,false,false
43.6659925,-79.3867729,2013-02-18 13:26,2013-02-18 21:00,cancelled,false,false
43.6659925,-79.3867729,2013-02-18 13:26,2013-02-18 21:00,cancelled,false,false
43.8103244,-79.3568694,2013-02-18 14:49,2013-02-19 03:00,cancelled,false,false
